Gemeinde,category,Programm_Name,Anbieter,Website
9050,Beratung,Beratung Solarenergie,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/beratung-solarenergie-ar
9050,Beratung,Energieberatung,Kanton Appenzell Innerrhoden,https://energie-ar-ai.ch/cms/index.php/angebot/impulsberatung-heizungsersatz
9050,Beratung,Impulsberatung «erneuerbar heizen»,Bundesamt für Energie,https://erneuerbarheizen.ch/impulsberatung/
9050,Heizung,Anschluss an ein Wärmenetz,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,Automatische Holzfeuerung ab 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,Automatische Holzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,"Holzheizungen (Pellets, Schnitzel, Stückholz – auf Abklärung auch weitere)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch 
9050,Heizung,Landwirtschaftliche Biogasanlagen,Genossenschaft Ökostrom Schweiz,https://oekostromschweiz.ch/news/detail/foerderungsregeln-auf-einen-blick
9050,Heizung,Luft-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,Pelletheizungen,myclimate,https://www.myclimate.org/de/informieren/klimaschutzprojekte/detail-klimaschutzprojekte/schweiz-biomasse-7822/
9050,Heizung,Sole-Wasser-Wärmepumpe,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,Stückholzfeuerung bis 70 kW,Kanton Appenzell Innerrhoden,https://www.ai.ch/themen/planen-und-bauen/energie/foerderprogramme/gebaeudesanierung
9050,Heizung,"Wärmepumpen (Luft/Wasser, Wasser/Wasser, Sole/Wasser)",Energie Zukunft Schweiz AG,http://www.klimapraemie.ch
