Date;Kanton_Kurzname;CO2_Wirkung_Tonnen_CH;Massnahmenbereich
2010;CH;30259;Haustechnik
2010;CH;1112;Neubau
2010;CH;369;Systemsanierung
2010;CH;46879;Total CO2-Wirkung Gebäudeprogramm
2010;CH;1748;Wärmedämmung
2010;CH;13391;Zentrale Wärmeversorgung
2011;CH;65526;Haustechnik
2011;CH;2186;Neubau
2011;CH;841;Systemsanierung
2011;CH;110274;Total CO2-Wirkung Gebäudeprogramm
2011;CH;14166;Wärmedämmung
2011;CH;27555;Zentrale Wärmeversorgung
2012;CH;101879;Haustechnik
2012;CH;3329;Neubau
2012;CH;1551;Systemsanierung
2012;CH;180786;Total CO2-Wirkung Gebäudeprogramm
2012;CH;32693;Wärmedämmung
2012;CH;41334;Zentrale Wärmeversorgung
2013;CH;137172;Haustechnik
2013;CH;4356;Neubau
2013;CH;2353;Systemsanierung
2013;CH;247150;Total CO2-Wirkung Gebäudeprogramm
2013;CH;48831;Wärmedämmung
2013;CH;54439;Zentrale Wärmeversorgung
2014;CH;167426;Haustechnik
2014;CH;5634;Neubau
2014;CH;3259;Systemsanierung
2014;CH;319601;Total CO2-Wirkung Gebäudeprogramm
2014;CH;71164;Wärmedämmung
2014;CH;72119;Zentrale Wärmeversorgung
2015;CH;195941;Haustechnik
2015;CH;6575;Neubau
2015;CH;4828;Systemsanierung
2015;CH;379642;Total CO2-Wirkung Gebäudeprogramm
2015;CH;86961;Wärmedämmung
2015;CH;85336;Zentrale Wärmeversorgung
2016;CH;223430;Haustechnik
2016;CH;7347;Neubau
2016;CH;5611;Systemsanierung
2016;CH;435724;Total CO2-Wirkung Gebäudeprogramm
2016;CH;101982;Wärmedämmung
2016;CH;97354;Zentrale Wärmeversorgung
2017;CH;249641;Haustechnik
2017;CH;8049;Neubau
2017;CH;6621;Systemsanierung
2017;CH;492321;Total CO2-Wirkung Gebäudeprogramm
2017;CH;116110;Wärmedämmung
2017;CH;111901;Zentrale Wärmeversorgung
2018;CH;277281;Haustechnik
2018;CH;9020;Neubau
2018;CH;8245;Systemsanierung
2018;CH;546104;Total CO2-Wirkung Gebäudeprogramm
2018;CH;127426;Wärmedämmung
2018;CH;124131;Zentrale Wärmeversorgung
2019;CH;303833;Haustechnik
2019;CH;9668;Neubau
2019;CH;11236;Systemsanierung
2019;CH;597091;Total CO2-Wirkung Gebäudeprogramm
2019;CH;138307;Wärmedämmung
2019;CH;134046;Zentrale Wärmeversorgung
2020;CH;340879;Haustechnik
2020;CH;10630;Neubau
2020;CH;15214;Systemsanierung
2020;CH;659746;Total CO2-Wirkung Gebäudeprogramm
2020;CH;146854;Wärmedämmung
2020;CH;146169;Zentrale Wärmeversorgung
2021;CH;402350;Haustechnik
2021;CH;18998;Neubau
2021;CH;20862;Systemsanierung
