Date;Kanton_Kurzname;Energiewirkung_GWh_CH;Massnahmenbereich
2010;CH;101.12;Haustechnik
2010;CH;3.17;Neubau
2010;CH;1.44;Systemsanierung
2010;CH;162.8;Total Energiewirkung Gebäudeprogramm
2010;CH;9.24;Wärmedämmung
2010;CH;47.82;Zentrale Wärmeversorgung
2011;CH;218.19;Haustechnik
2011;CH;6.61;Neubau
2011;CH;3.31;Systemsanierung
2011;CH;400.5;Total Energiewirkung Gebäudeprogramm
2011;CH;73.98;Wärmedämmung
2011;CH;98.41;Zentrale Wärmeversorgung
2012;CH;338.96;Haustechnik
2012;CH;10.27;Neubau
2012;CH;6.19;Systemsanierung
2012;CH;672.89;Total Energiewirkung Gebäudeprogramm
2012;CH;169.84;Wärmedämmung
2012;CH;147.62;Zentrale Wärmeversorgung
2013;CH;453.82;Haustechnik
2013;CH;14.22;Neubau
2013;CH;9.33;Systemsanierung
2013;CH;924.59;Total Energiewirkung Gebäudeprogramm
2013;CH;252.79;Wärmedämmung
2013;CH;194.42;Zentrale Wärmeversorgung
2014;CH;552.79;Haustechnik
2014;CH;19.61;Neubau
2014;CH;12.89;Systemsanierung
2014;CH;1210.48;Total Energiewirkung Gebäudeprogramm
2014;CH;367.63;Wärmedämmung
2014;CH;257.57;Zentrale Wärmeversorgung
2015;CH;648.38;Haustechnik
2015;CH;23.95;Neubau
2015;CH;19.05;Systemsanierung
2015;CH;1445.6;Total Energiewirkung Gebäudeprogramm
2015;CH;449.45;Wärmedämmung
2015;CH;304.77;Zentrale Wärmeversorgung
2016;CH;742.83;Haustechnik
2016;CH;27.86;Neubau
2016;CH;22.2;Systemsanierung
2016;CH;1667.82;Total Energiewirkung Gebäudeprogramm
2016;CH;527.23;Wärmedämmung
2016;CH;347.69;Zentrale Wärmeversorgung
2017;CH;830.55;Haustechnik
2017;CH;31.46;Neubau
2017;CH;26.32;Systemsanierung
2017;CH;1890.1;Total Energiewirkung Gebäudeprogramm
2017;CH;602.14;Wärmedämmung
2017;CH;399.64;Zentrale Wärmeversorgung
2018;CH;919.51;Haustechnik
2018;CH;36.72;Neubau
2018;CH;33.33;Systemsanierung
2018;CH;2098.95;Total Energiewirkung Gebäudeprogramm
2018;CH;666.06;Wärmedämmung
2018;CH;443.32;Zentrale Wärmeversorgung
2019;CH;1002.59;Haustechnik
2019;CH;40.14;Neubau
2019;CH;45.09;Systemsanierung
2019;CH;2298.45;Total Energiewirkung Gebäudeprogramm
2019;CH;731.89;Wärmedämmung
2019;CH;478.74;Zentrale Wärmeversorgung
2020;CH;1113.5;Haustechnik
2020;CH;45.39;Neubau
2020;CH;60.94;Systemsanierung
2020;CH;2527.78;Total Energiewirkung Gebäudeprogramm
2020;CH;785.92;Wärmedämmung
2020;CH;522.03;Zentrale Wärmeversorgung
2021;CH;1280.29;Haustechnik
2021;CH;57.09;Neubau
2021;CH;81.18;Systemsanierung
2021;CH;2816.23;Total Energiewirkung Gebäudeprogramm
2021;CH;839.89;Wärmedämmung
2021;CH;557.77;Zentrale Wärmeversorgung
2022;CH;1524.3;Haustechnik
2022;CH;62.3;Neubau
2022;CH;103.11;Systemsanierung
2022;CH;3222.54;Total Energiewirkung Gebäudeprogramm
2022;CH;894.58;Wärmedämmung
2022;CH;638.25;Zentrale Wärmeversorgung
