Date;Kanton_Kurzname;VergütungCHF_Gebäudeprogramm;Massnahmenbereich
2010;CH;43522889.95;Haustechnik
2010;CH;0;Indirekte Massnahmen
2010;CH;10977986;Neubau
2010;CH;3501873;Systemsanierung
2010;CH;92235671.95;Total
2010;CH;23079794;Wärmedämmung
2010;CH;11153129;Zentrale Wärmeversorgung
2011;CH;44362260.1;Haustechnik
2011;CH;0;Indirekte Massnahmen
2011;CH;14802811;Neubau
2011;CH;6531529;Systemsanierung
2011;CH;210010265.6;Total
2011;CH;135491286;Wärmedämmung
2011;CH;8822379.5;Zentrale Wärmeversorgung
2012;CH;45173855;Haustechnik
2012;CH;0;Indirekte Massnahmen
2012;CH;14817767;Neubau
2012;CH;9610313.48;Systemsanierung
2012;CH;253446397.5;Total
2012;CH;174033960;Wärmedämmung
2012;CH;9810502;Zentrale Wärmeversorgung
2013;CH;42508684.7;Haustechnik
2013;CH;0;Indirekte Massnahmen
2013;CH;14002238;Neubau
2013;CH;10695041;Systemsanierung
2013;CH;210538971.7;Total
2013;CH;131032500;Wärmedämmung
2013;CH;12300508;Zentrale Wärmeversorgung
2014;CH;41813135;Haustechnik
2014;CH;0;Indirekte Massnahmen
2014;CH;19008820;Neubau
2014;CH;13554108;Systemsanierung
2014;CH;239062382.5;Total
2014;CH;152111545;Wärmedämmung
2014;CH;12574774.5;Zentrale Wärmeversorgung
2015;CH;36663482.61;Haustechnik
2015;CH;0;Indirekte Massnahmen
2015;CH;15197399;Neubau
2015;CH;16616778;Systemsanierung
2015;CH;178661626.5;Total
2015;CH;100188335;Wärmedämmung
2015;CH;9995631.9;Zentrale Wärmeversorgung
2016;CH;35867917;Haustechnik
2016;CH;0;Indirekte Massnahmen
2016;CH;12797109;Neubau
2016;CH;9682437;Systemsanierung
2016;CH;161664916.6;Total
2016;CH;93385955;Wärmedämmung
2016;CH;9931498.6;Zentrale Wärmeversorgung
2017;AG;884634;Haustechnik
2017;AG;755355;Neubau
2017;AG;825803;Systemsanierung
2017;AG;10501047;Total
2017;AG;7980302;Wärmedämmung
2017;AG;54953;Zentrale Wärmeversorgung
2017;AI;44206;Haustechnik
2017;AI;20000;Neubau
2017;AI;17112;Systemsanierung
2017;AI;297148;Total
2017;AI;205830;Wärmedämmung
2017;AI;10000;Zentrale Wärmeversorgung
2017;AR;149113;Haustechnik
2017;AR;0;Neubau
2017;AR;43166;Systemsanierung
2017;AR;1032159;Total
2017;AR;813580;Wärmedämmung
2017;AR;26300;Zentrale Wärmeversorgung
2017;BE;12101368;Haustechnik
2017;BE;3212350;Neubau
2017;BE;3855760;Systemsanierung
2017;BE;31885676;Total
2017;BE;10849900;Wärmedämmung
2017;BE;1866298;Zentrale Wärmeversorgung
2017;BL;2810140;Haustechnik
2017;BL;1058270;Neubau
2017;BL;908130;Systemsanierung
2017;BL;10260313;Total
2017;BL;4642141;Wärmedämmung
2017;BL;841632;Zentrale Wärmeversorgung
2017;BS;120309;Haustechnik
2017;BS;1026759;Neubau
2017;BS;0;Systemsanierung
2017;BS;3355368;Total
2017;BS;2208300;Wärmedämmung
2017;BS;0;Zentrale Wärmeversorgung
2017;CH;36332496.45;Haustechnik
2017;CH;0;Indirekte Massnahmen
2017;CH;12396226.6;Neubau
2017;CH;14747042;Systemsanierung
2017;CH;175841337.1;Total
2017;CH;103583310;Wärmedämmung
2017;CH;8782262;Zentrale Wärmeversorgung
2017;FR;1702627;Haustechnik
2017;FR;30880;Neubau
2017;FR;18000;Systemsanierung
2017;FR;5437087;Total
2017;FR;2863900;Wärmedämmung
2017;FR;821680;Zentrale Wärmeversorgung
2017;GE;1414837.5;Haustechnik
2017;GE;12415;Neubau
2017;GE;907046;Systemsanierung
2017;GE;5020293.5;Total
2017;GE;2432090;Wärmedämmung
2017;GE;253905;Zentrale Wärmeversorgung
2017;GL;524690;Haustechnik
