Kanton,Link,Name
jura,https://www.jura.ch/DEN/SDT/Energie/Subventions/Programme-Batiments-1/Programme-Batiments.html,Kantonale Website
graubuenden,http://www.energie.gr.ch,Kantonale Website
aargau,/de/projekt-planen/geforderte-massnahmen/warmedammung/?context=ag,Wärmedämmung
aargau,/de/projekt-planen/geforderte-massnahmen/holzfeuerung/?context=ag,Holzfeuerung
aargau,/de/projekt-planen/geforderte-massnahmen/warmepumpe/?context=ag,Wärmepumpe
aargau,/de/projekt-planen/geforderte-massnahmen/anschluss-an-ein-warmenetz/?context=ag,Anschluss an ein Wärmenetz
aargau,/de/projekt-planen/geforderte-massnahmen/solarkollektor/?context=ag,Solarkollektor
aargau,/de/projekt-planen/geforderte-massnahmen/gesamtsanierung-mit-minergie-zertifikat/?context=ag,Gesamtsanierung mit Minergie-Zertifikat
aargau,/de/projekt-planen/geforderte-massnahmen/bonus-fur-umfassende-sanierung/?context=ag,Bonus für umfassende Sanierung
aargau,/de/projekt-planen/geforderte-massnahmen/neubau-ersatzneubau-minergie-p-und-geak-aa/?context=ag,Neubau / Ersatzneubau Minergie-P und GEAK A/A
aargau,/de/projekt-planen/geforderte-massnahmen/51-neubauerweiterung-warmenetz-oder-warmeerzeugungsanlage/?context=ag,Neubau/Erweiterung Wärmenetz oder Wärmeerzeugungsanlage
aargau,/de/projekt-planen/geforderte-massnahmen/analyse-und-beratung/?context=ag,Analyse und Beratung
aargau,/de/projekt-planen/geforderte-massnahmen/massnahmen-zur-qualitatssicherung/?context=ag,Massnahmen zur Qualitätssicherung
luzern,/de/projekt-planen/geforderte-massnahmen/warmedammung/?context=lu,Wärmedämmung
luzern,/de/projekt-planen/geforderte-massnahmen/holzfeuerung/?context=lu,Holzfeuerung
luzern,/de/projekt-planen/geforderte-massnahmen/warmepumpe/?context=lu,Wärmepumpe
luzern,/de/projekt-planen/geforderte-massnahmen/anschluss-an-ein-warmenetz/?context=lu,Anschluss an ein Wärmenetz
luzern,/de/projekt-planen/geforderte-massnahmen/solarkollektor/?context=lu,Solarkollektor
